Anbieter;Kurzbeschreibung Anbieter;Kurzbeschreibung des Angebots;Informationen zum Angebot;Webseite;Straße + Hausnummer des Angebotorts;Ort;PLZ des Angebotorts;Bezirk;Gratis?;Kategorie;Zielgruppen;X WGS 84;Y WGS 84;Sprache;Slug;Freigegeben
Girls and Boys Sports Center at Centre Talma;The Centre Talma is a children's and youth leisure facility of the VSJ&GSJ Berlin located in the Reinickendorf district, Wittenau, where a community of sponsors offers a diverse range of activities over five days.;Reduced course fees;We provide movement, communication, and education for girls and young women, as well as boys and young men. In cooperation with schools, we offer introductory activities as part of hiking days, project days, or regular open sports-oriented offers.;https://www.centre-talma.de/;Hermsdorfer Str. 18A;Berlin;13469;Reinickendorf;nein;Sport;Erwachsene, Senioren, Familie;13,32420706;52,59879657;en;Mädchen-und JungenSportZentrum im Centre Talma;Ja
MädchenSportZentrum Kreafithaus;Sie werden durch aktive sportliche Freizeitgestaltung in Verbindung mit sozialpädagogischer Unterstützung in ihrer Persönlichkeitsentwicklung gefördert. Auf dem Programm stehen Bewegungs- und Tanzangebote sowie die Beschäftigung mit Themen wie Frauenrolle, Partnerschaft und Ernährung.;Freier Eintritt ;Der Mädchenklub des¬† Kreafithaus bietet Mädchen im Alter von 10-18 Jahren offene Freizeitangebote an. Tanzen, Klettern (Frühjahr bis Herbst), Bogenschießen, Kochkurse, Gartentrampolin, Mini-Basketball, Kicker, Tischtennis, Kreatives, Hausaufgabenunterstützung, Ausflüge, Ferienprogramm, kostenlose Sport-/Tanzräume für Jugendgruppen, großen Garten zum Entspannen. Di-Fr  14-19 Uhr kostenlos, feste Kurse 1 Euro pro Termin;https://www.kreafithaus.de;Rudolf-Seiffert-Straße 50;Berlin;10369;Lichtenberg;nein;Sport;Erwachsene, Senioren, Familie;13,46870288;52,52562077;de;MädchenSportZentrum Kreafithaus;Ja
Girls Sports Center Kreafithaus;They are supported in their personal development through active sports leisure activities combined with social pedagogical support. The program includes movement and dance offerings as well as discussions on topics such as gender roles, partnerships, and nutrition.;Free admission;The girls' club at Kreafithaus offers open leisure activities for girls aged 10-18. Activities include dancing, climbing (spring to autumn), archery, cooking classes, garden trampolining, mini-basketball, foosball, table tennis, creative activities, homework support, excursions, holiday programs, free sports/dance rooms for youth groups, and a large garden for relaxation. Tuesday to Friday from 2 PM to 7 PM free of charge, fixed courses 1 euro per appointment;https://www.kreafithaus.de;Rudolf-Seiffert-Straße 50;Berlin;10369;Lichtenberg;nein;Sport;Erwachsene, Senioren, Familie;13,46870288;52,52562077;en;MädchenSportZentrum Kreafithaus;Ja
Märkisches Museum;In über 50 Schauräumen erzählt das Märkische Museum Geschichte und Geschichten der Stadt Berlin von ihren Anfängen bis zur Gegenwart. Ausgestellt sind unter anderem Berliner Kunst und Skulpturen, Waffen, Münzen, Möbel, Urkunden, Plakate, Fotografien, Stadtansichten und Stadtmodelle.;Ermäßigter Eintritt;ermäßigter Eintritt Mi-Fr 12-18 Uhr|Sa und So 10-18 Uhr 7 Euro / erm. 4 Euro (inkl. Audioguide), Eintritt frei für Kinder und Jugendliche bis 18 Jahre. Preisänderungen vorbehalten.;http://www.stadtmuseum.de;Am Köllnischen Park 5;Berlin;10179;Mitte;nein;Kultur;Erwachsene, Senioren, Familie;13,4151502;52,51376533;de;Märkisches Museum;Ja
Märkisches Museum;In over 50 exhibition rooms, the Märkisches Museum tells the history and stories of the city of Berlin from its beginnings to the present. Exhibits include Berlin art and sculptures, weapons, coins, furniture, documents, posters, photographs, city views, and city models.;Reduced admission;reduced admission Wed-Fri 12-6 PM | Sat and Sun 10 AM-6 PM 7 Euros / reduced 4 Euros (including audio guide), free admission for children and teens up to 18 years old. Price changes reserved.;http://www.stadtmuseum.de;Am Köllnischen Park 5;Berlin;10179;Mitte;nein;Kultur;Erwachsene, Senioren, Familie;13,4151502;52,51376533;en;Märkisches Museum;Ja
Mauermuseum - Museum Haus am Checkpoint Charlie;Das Haus am Checkpoint Charlie zeigt die Geschichte der Mauer und der Teilung Berlins.;Ermäßigter Eintritt;ermäßigter Eintritt;https://www.mauermuseum.de;Friedrichstraße 43-45;Berlin;10969;Friedrichshain-Kreuzberg;nein;Kultur;Erwachsene, Senioren, Familie;13,3906873;52,50690922;de;Mauermuseum - Museum Haus am Checkpoint Charlie;Ja
Mauermuseum - Museum House at Checkpoint Charlie;The House at Checkpoint Charlie shows the history of the Wall and the division of Berlin;Discounted admission;discounted admission;https://www.mauermuseum.de;Friedrichstraße 43-45;Berlin;10969;Friedrichshain-Kreuzberg;nein;Kultur;Erwachsene, Senioren, Familie;13,3906873;52,50690922;en;Mauermuseum - Museum Haus am Checkpoint Charlie;Ja
Maxim Gorki Theater Berlin;Im Gorki werden Themen der Gegenwart auf die Bühne gebracht, die lange im Theater vermisst wurden.;Ermäßigter Eintritt;3 Euro Ticket, auch im Vorverkauf, Reservierungen sind möglich. gilt nicht für Premieren, Sonder- und Fremdveranstaltungen;https://www.gorki.de;Am Festungsgraben 2;Berlin;10117;Mitte;nein;Kultur;Erwachsene, Senioren, Familie;13,39511211;52,51885904;de;Maxim Gorki Theater Berlin;Ja
Maxim Gorki Theater Berlin;The Gorki brings contemporary themes to the stage that have long been missing in theater.;Discounted admission;3 Euro ticket, also available in advance, reservations are possible. Not valid for premieres, special events, and guest performances.;https://www.gorki.de;Am Festungsgraben 2;Berlin;10117;Mitte;nein;Kultur;Erwachsene, Senioren, Familie;13,39511211;52,51885904;en;Maxim Gorki Theater Berlin;Ja
Mehringhof Theater;Die Mischung macht's im Mehringhof Theater: Bekannte Szenegrößen wie Kurt Krömer, Fil, Horst Evers, Marc-Uwe Kling, Josef Hader, Max Uthoff oder Felix Lobrecht treten ebenso im Mehringhof Theater auf wie vielversprechende Newcomerinnen und Newcomer, die ihre ersten Schritte vor dem Hauptstadtpublikum wagen.;Ermäßigter Eintritt;ermäßigter Eintritt für alle Vorstellungen und Gastspiele;http://www.mehringhoftheater.de/;Gneisenaustraße 2A;Berlin;10961;Friedrichshain-Kreuzberg;nein;Kultur;Erwachsene, Senioren, Familie;13,38854845;52,49201771;de;Mehringhof Theater;Ja
Mehringhof Theater;The mix makes it at the Mehringhof Theater: well-known figures like Kurt Krömer, Fil, Horst Evers, Marc-Uwe Kling, Josef Hader, Max Uthoff, or Felix Lobrecht perform at the Mehringhof Theater alongside promising newcomers who are taking their first steps in front of the capital's audience.;Reduced admission;reduced admission for all performances and guest performances;http://www.mehringhoftheater.de/;Gneisenaustraße 2A;Berlin;10961;Friedrichshain-Kreuzberg;nein;Kultur;Erwachsene, Senioren, Familie;13,38854845;52,49201771;en;Mehringhof Theater;Ja
Mendelssohn-Remise;Die Mendelssohn-Gesellschaft e. V. ist ein 1967 von Mendelssohn-Forschern und -Nachkommen gegründeter, in Berlin ansässiger gemeinnütziger Verein, der sich die Pflege und Verbreitung des geistigen und künstlerischen Erbes der Mendelssohn-Familie in allen ihren Zweigen zum Ziel gesetzt hat.;Freier Eintritt ;freier Eintritt für alle Besucher*innen, Spende erbeten;https://www.mendelssohn-gesellschaft.de/ausstellung_1.php?lang=1;Jägerstraße 51;Berlin;10117;Mitte;ja;Kultur;Erwachsene, Senioren, Familie;13,39505426;52,5143442;de;Mendelssohn-Remise;Ja
Mendelssohn-Remise;The Mendelssohn Society e. V. is a non-profit organization based in Berlin, founded in 1967 by Mendelssohn researchers and descendants, dedicated to the preservation and dissemination of the intellectual and artistic legacy of the Mendelssohn family in all its branches.;Free admission;free admission for all visitors, donations requested;https://www.mendelssohn-gesellschaft.de/ausstellung_1.php?lang=1;Jägerstraße 51;Berlin;10117;Mitte;ja;Kultur;Erwachsene, Senioren, Familie;13,39505426;52,5143442;en;Mendelssohn-Remise;Ja
Mitte Museum;Das Mitte Museum in Berlin ist das regionalgeschichtliche Museum des Berliner Bezirks Mitte und wird als kommunale Einrichtung der Geschichtsarbeit und Erinnerungskultur vom Amt für Weiterbildung und Kultur, Fachbereich Kunst, Kultur und Geschichte, des Bezirksamtes Mitte von Berlin getragen.;Freier Eintritt ;regionalgeschichtliches Museum für Mitte, Tiergarten, Wedding. Ausstellungen und Veranstaltungen. √ñffnungszeiten So-Fr 10-18 Uhr;https://www.mittemuseum.de;Pankstraße 47;Berlin;13357;Mitte;ja;Kultur;Erwachsene, Senioren, Familie;13,37997727;52,55110688;de;Mitte Museum;Ja
Mitte Museum;The Mitte Museum in Berlin is the regional history museum of the Berlin district of Mitte and is supported as a municipal institution for historical work and culture of remembrance by the Office for Education and Culture, Department of Art, Culture and History, of the District Office Mitte of Berlin.;Free entry;Regional history museum for Mitte, Tiergarten, Wedding. Exhibitions and events. Opening hours Sun-Fri 10 AM - 6 PM;https://www.mittemuseum.de;Pankstraße 47;Berlin;13357;Mitte;ja;Kultur;Erwachsene, Senioren, Familie;13,37997727;52,55110688;en;Mitte Museum;Ja
Modellpark Berlin-Brandenburg;Im Modellpark Berlin-Brandenburg in der Wuhlheide sind insgesamt über 80 Modelle von Berliner und Brandenburger Bauwerken zu sehen, vom Brandenburger Tor bis zur Pfaueninsel.;Ermäßigter Eintritt;ermäßigter Eintritt;https://www.modellparkberlin.de;An d. Wuhlheide 81;Berlin;12459;Treptow-Köpenick;nein;Freizeit;Erwachsene, Senioren, Familie;13,52574745;52,46438912;de;Modellpark Berlin-Brandenburg;Ja
Model Park Berlin-Brandenburg;In the Model Park Berlin-Brandenburg in Wuhlheide, there are over 80 models of Berlin and Brandenburg buildings on display, from the Brandenburg Gate to Peacock Island.;Reduced admission;reduced admission;https://www.modellparkberlin.de;An d. Wuhlheide 81;Berlin;12459;Treptow-Köpenick;nein;Freizeit;Erwachsene, Senioren, Familie;13,52574745;52,46438912;en;Modellpark Berlin-Brandenburg;Ja
Museum Berlin-Karlshorst;Im Gebäude des Museums Karlshorst (ehemals Deutsch-Russisches Museum Karlshorst) wurde am 8. Mai 1945 mit der Kapitulation der deutschen Wehrmacht der 2. Weltkrieg beendet. An diesem Ort wird an das historische Ereignis erinnert.;Freier Eintritt ;freier Eintritt für alle Besucher*innen;https://www.museum-karlshorst.de;Zwieseler Str. 4;Berlin;10318;Lichtenberg;ja;Kultur;Erwachsene, Senioren, Familie;13,53935906;52,48623832;de;Museum Berlin-Karlshorst;Ja
Berlin-Karlshorst Museum;In the building of the Karlshorst Museum (formerly the German-Russian Museum Karlshorst), World War II ended on May 8, 1945, with the capitulation of the German Wehrmacht. This place commemorates the historical event.;Free entrance;free entrance for all visitors;https://www.museum-karlshorst.de;Zwieseler Str. 4;Berlin;10318;Lichtenberg;ja;Kultur;Erwachsene, Senioren, Familie;13,53935906;52,48623832;en;Museum Berlin-Karlshorst;Ja
Museum Blindenwerkstatt Otto Weidt;Das Museum erzählt die Geschichte der Blindenwerkstatt Otto Weidt. Während des Zweiten Weltkrieges beschäftigte der Kleinfabrikant Otto Weidt hauptsächlich blinde und gehörlose Juden.;Freier Eintritt ;freier Eintritt für alle Besucher*innen täglich geöffnet 10-18 Uhr;http://www.museum-blindenwerkstatt.de/;Rosenthaler Str. 39;Berlin;10178;Mitte;ja;Kultur;Erwachsene, Senioren, Familie;13,40267895;52,5242025;de;Museum Blindenwerkstatt Otto Weidt;Ja
Museum of the Otto Weidt Blind Workshop;The museum tells the story of the Otto Weidt Blind Workshop. During World War II, the small manufacturer Otto Weidt mainly employed blind and deaf Jews.;Free admission;free admission for all visitors open daily from 10 AM to 6 PM;http://www.museum-blindenwerkstatt.de/;Rosenthaler Str. 39;Berlin;10178;Mitte;ja;Kultur;Erwachsene, Senioren, Familie;13,40267895;52,5242025;en;Museum Blindenwerkstatt Otto Weidt;Ja
Museum Charlottenburg-Wilmersdorf in der Villa Oppenheim;Das 1987 gegründete Museum Charlottenburg-Wilmersdorf widmet sich der Erforschung und Vermittlung der Regional- und Stadtgeschichte des Bezirks sowie der Berliner Kulturgeschichte.;Freier Eintritt ;freier Eintritt für alle Besucher*innen;https://www.villa-oppenheim-berlin.de;Schloßstraße 55;Berlin;14059;Charlottenburg-Wilmersdorf;ja;Kultur;Erwachsene, Senioren, Familie;13,29795447;52,51600929;de;Museum Charlottenburg-Wilmersdorf in der Villa Oppenheim;Ja
Museum Charlottenburg-Wilmersdorf in Villa Oppenheim;Founded in 1987, the Museum Charlottenburg-Wilmersdorf is dedicated to researching and conveying the regional and local history of the district as well as the cultural history of Berlin;Free entry;free entry for all visitors;https://www.villa-oppenheim-berlin.de;Schloßstraße 55;Berlin;14059;Charlottenburg-Wilmersdorf;ja;Kultur;Erwachsene, Senioren, Familie;13,29795447;52,51600929;en;Museum Charlottenburg-Wilmersdorf in der Villa Oppenheim;Ja
Museum der Unerhörten Dinge;Das Museum der Unerhörten Dinge ist eine Sammlung von künstlerischen, wissenschaftlichen und technischen Gegenständen, die meist unbeachtet sind, aber Geschichten erzählen - oder zumindest erzählen könnten.;Freier Eintritt ;freier Eintritt für alle Besucher*innen geöffnet Mi bis Fr 15-19 Uhr;https://www.museumderunerhoertendinge.de;Crellestraße 5-6;Berlin;10827;Tempelhof-Schöneberg;ja;Kultur;Erwachsene, Senioren, Familie;13,35866188;52,48695803;de;Museum der Unerhörten Dinge;Ja
Museum of Unheard Things;The Museum of Unheard Things is a collection of artistic, scientific and technical objects that mostly go unnoticed but tell stories - or at least could tell stories.;Free admission;free admission for all visitors open Wed to Fri 3 PM to 7 PM;https://www.museumderunerhoertendinge.de;Crellestraße 5-6;Berlin;10827;Tempelhof-Schöneberg;ja;Kultur;Erwachsene, Senioren, Familie;13,35866188;52,48695803;en;Museum der Unerhörten Dinge;Ja
Museum für Europäische Kulturen;Das Museum Europäischer Kulturen in Berlin-Dahlem widmet sich den Lebenswelten in Europa und europäischen Kulturkontakten vom 18. Jahrhundert bis heute.;Freier Eintritt ;freier Eintritt für alle Besucher*innen;https://www.smb.museum/mek;Arnimallee 25;Berlin;14195;Steglitz-Zehlendorf;ja;Kultur;Erwachsene, Senioren, Familie;13,29269118;52,45551905;de;Museum für Europäische Kulturen;Ja
Museum of European Cultures;The Museum of European Cultures in Berlin-Dahlem is dedicated to living environments in Europe and European cultural contacts from the 18th century to the present.;Free admission;free admission for all visitors;https://www.smb.museum/mek;Arnimallee 25;Berlin;14195;Steglitz-Zehlendorf;ja;Kultur;Erwachsene, Senioren, Familie;13,29269118;52,45551905;en;Museum für Europäische Kulturen;Ja
Museum für Fotografie;Das Museum für Fotografie und die Helmut Newton Stiftung präsentieren alle Formen der Fotografie vom 19. bis zum 21. Jahrhundert.;Freier Eintritt ;freier Eintritt;https://www.smb.museum/mf;Jebensstraße 2;Berlin;10623;Charlottenburg-Wilmersdorf;ja;Kultur;Erwachsene, Senioren, Familie;13,33215774;52,50811713;de;Museum für Fotografie;Ja
Museum of Photography;The Museum of Photography and the Helmut Newton Foundation present all forms of photography from the 19th to the 21st century;Free admission;free admission;https://www.smb.museum/mf;Jebensstraße 2;Berlin;10623;Charlottenburg-Wilmersdorf;ja;Kultur;Erwachsene, Senioren, Familie;13,33215774;52,50811713;en;Museum für Fotografie;Ja
Museum für Naturkunde Berlin;Das Museum für Naturkunde Berlin ist ein integriertes Forschungsmuseum der Leibniz-Gemeinschaft. Es gehört zu den weltweit bedeutendsten Forschungseinrichtungen auf dem Gebiet der biologischen und geowissenschaftlichen Evolution und Biodiversität.;Ermäßigter Eintritt;ermäßigter Eintritt, 5 Euro¬† (während der Laufzeit von Sonderausstellungen können die Eintrittspreise abweichen). Die Tickets können vor Ort an der Kasse oder im Ticketshop gekauft werden (https://www.museumfuernaturkunde.berlin/de/museum/besucherinformationen);https://www.museumfuernaturkunde.berlin;Invalidenstraße 43;Berlin;10115;Mitte;nein;Kultur;Erwachsene, Senioren, Familie;13,37943119;52,53003739;de;Museum für Naturkunde Berlin;Ja
Museum of Natural History Berlin;The Museum of Natural History Berlin is an integrated research museum of the Leibniz Association. It is one of the world's leading research institutions in the field of biological and geological evolution and biodiversity.;Discounted admission;discounted admission, 5 Euro (during the duration of special exhibitions, admission prices may vary). Tickets can be purchased on-site at the cash desk or in the ticket shop (https://www.museumfuernaturkunde.berlin/de/museum/besucherinformationen);https://www.museumfuernaturkunde.berlin;Invalidenstraße 43;Berlin;10115;Mitte;nein;Kultur;Erwachsene, Senioren, Familie;13,37943119;52,53003739;en;Museum für Naturkunde Berlin;Ja
Museum in der Kulturbrauerei;Das Museum in der Kulturbrauerei zeigt jährlich zwei Wechselausstellungen zur Zeitgeschichte und bietet ein attraktives Veranstaltungsprogramm aus Lesungen, Diskussionen, Familientagen und vielem mehr.;Freier Eintritt ;freier Eintritt für alle Besucher*innen √ñffentliche Begleitung durch die Ausstellung jeden Samstag und Sonntag um 14 Uhr | siehe Website;https://www.hdg.de/berlin/museum-in-der-kulturbrauerei;Knaackstraße 97;Berlin;10435;Pankow;ja;Kultur;Erwachsene, Senioren, Familie;13,41414407;52,54032676;de;Museum in der Kulturbrauerei;Ja
Museum in the Cultural Brewery;The Museum in the Cultural Brewery hosts two temporary exhibitions on contemporary history each year and offers an attractive event program including readings, discussions, family days, and much more.;Free admission;free admission for all visitors public guided tours through the exhibition every Saturday and Sunday at 2 PM | see website;https://www.hdg.de/berlin/museum-in-der-kulturbrauerei;Knaackstraße 97;Berlin;10435;Pankow;ja;Kultur;Erwachsene, Senioren, Familie;13,41414407;52,54032676;en;Museum in der Kulturbrauerei;Ja
Museum Köpenick;Seit 1999 dokumentiert die Dauerausstellung Köpenick - Von den Anfängen bis zur Gegenwart die Geschichte des Bezirkes Köpenick. Neben einer Auswahl der wichtigsten archäologischen Funde der letzten Jahrzehnte werden die bedeutendsten Kapitel der Stadt- und Bezirksgeschichte dargestellt.;Freier Eintritt ;freier Eintritt für alle Besucher*innen Di und Do 10 -18 Uhr|Mi 10-16 Uhr|Sonntag 14-18 Uhr;https://www.berlin.de/museum-treptow-koepenick/;Alter Markt 1;Berlin;12555;Treptow-Köpenick;nein;Kultur;Erwachsene, Senioren, Familie;13,57973503;52,44562197;de;Museum Köpenick;Ja
Köpenick Museum;Since 1999, the permanent exhibition Köpenick - From the Beginnings to the Present documents the history of the Köpenick district. In addition to a selection of the most important archaeological finds of recent decades, the most significant chapters of the city's and district's history are presented.;Free admission;free admission for all visitors on Tue and Thu 10 AM - 6 PM | Wed 10 AM - 4 PM | Sunday 2 PM - 6 PM;https://www.berlin.de/museum-treptow-koepenick/;Alter Markt 1;Berlin;12555;Treptow-Köpenick;nein;Kultur;Erwachsene, Senioren, Familie;13,57973503;52,44562197;en;Museum Köpenick;Ja
Museum Lichtenberg;Das Museum Lichtenberg ist mehr als ein Museum. Als Informations-, Kultur- und Bildungsstätte lädt es ein, die Geschichte und Gegenwart Lichtenbergs aus unterschiedlichen Blickwinkeln zu betrachten, zu erforschen und zu diskutieren.;Freier Eintritt ;freier Eintritt in die Ausstellungen für alle Besucher*innen;https://www.museum-lichtenberg.de;Türrschmidtstraße 24;Berlin;10317;Lichtenberg;nein;Kultur;Erwachsene, Senioren, Familie;13,48083046;52,50298411;de;Museum Lichtenberg;Ja
Museum Lichtenberg;The Museum Lichtenberg is more than just a museum. As an information, cultural, and educational institution, it invites you to view, explore, and discuss the history and present of Lichtenberg from different perspectives.;Free admission;free admission to the exhibitions for all visitors;https://www.museum-lichtenberg.de;Türrschmidtstraße 24;Berlin;10317;Lichtenberg;nein;Kultur;Erwachsene, Senioren, Familie;13,48083046;52,50298411;en;Museum Lichtenberg;Ja
Museum Neukölln;Das Museum Neukölln versteht sich als modernes Regionalmuseum und bieten einen interaktiven Einstieg in die regionale Geschichte des Bezirks.;Freier Eintritt ;freier Eintritt für alle Besucher*innen - auch bei kostenpflichtigen Veranstaltungen täglich 10-18 Uhr;https://www.museum-neukoelln.de;Alt-Britz 81;Berlin;12359;Neukölln;ja;Kultur;Erwachsene, Senioren, Familie;13,43707118;52,44621307;de;Museum Neukölln;Ja
Museum Neukölln;The Museum Neukölln sees itself as a modern regional museum and offers an interactive introduction to the regional history of the district.;Free entry;free entry for all visitors - even for paid events daily from 10 AM to 6 PM;https://www.museum-neukoelln.de;Alt-Britz 81;Berlin;12359;Neukölln;ja;Kultur;Erwachsene, Senioren, Familie;13,43707118;52,44621307;en;Museum Neukölln;Ja
Museum Nikolaikirche;Seit fast 800 Jahren prägt die Nikolaikirche das Zentrum Berlins. Seit 1987 ist das älteste erhaltene Kirchengebäude der Stadt ein Museum.;Ermäßigter Eintritt;ermäßigter Eintritt, Do-So 10-18 Uhr (letzter Einlass 17 Uhr), 5 Euro, erm. 3 Euro (inkl. Audioguide), bis 18 Jahre Eintritt frei für Kinder und Jugendliche. Preisänderungen vorbehalten.;http://www.stadtmuseum.de;Nikolaikirchpl.;Berlin;10178;Mitte;nein;Kultur;Erwachsene, Senioren, Familie;13,40776044;52,51652617;de;Museum Nikolaikirche;Ja
Museum Nikolaikirche;For nearly 800 years, the Nikolaikirche has shaped the center of Berlin. Since 1987, the oldest preserved church building in the city has been a museum.;Reduced admission;reduced admission, Thu-Sun 10 AM - 6 PM (last entry at 5 PM), 5 Euro, reduced 3 Euro (including audio guide), free admission for children and teenagers up to 18 years. Price changes reserved.;http://www.stadtmuseum.de;Nikolaikirchpl.;Berlin;10178;Mitte;nein;Kultur;Erwachsene, Senioren, Familie;13,40776044;52,51652617;en;Museum Nikolaikirche;Ja
Museum Pankow und Ausstellung StadtGut Blankenfelde;Seit fast 800 Jahren prägt die Nikolaikirche das Zentrum Berlins. Seit 1987 ist das älteste erhaltene Kirchengebäude der Stadt ein Museum.;Freier Eintritt ;freier Eintritt für alle Besucher*innen an den Standorten Prenzlauer Allee 227, Heynstr. 8 und in der Ausstellung StadtGut Blankenfelde;https://www.berlin.de/museum-pankow;Heynstraße 8;Berlin;13187;Pankow;ja;Kultur;Erwachsene, Senioren, Familie;13,40248557;52,56427337;de;Museum Pankow und Ausstellung StadtGut Blankenfelde;Ja
Museum Pankow and Exhibit StadtGut Blankenfelde;For almost 800 years, St. Nicholas Church has shaped the center of Berlin. Since 1987, the oldest preserved church building in the city has been a museum.;Free admission;free admission for all visitors at the locations Prenzlauer Allee 227, Heynstr. 8, and in the exhibit StadtGut Blankenfelde;https://www.berlin.de/museum-pankow;Heynstraße 8;Berlin;13187;Pankow;ja;Kultur;Erwachsene, Senioren, Familie;13,40248557;52,56427337;en;Museum Pankow und Ausstellung StadtGut Blankenfelde;Ja
Museum Reinickendorf;Das Museum Reinickendorf (ehemalig Heimatmuseum Reinickendorf) befindet sich in einer alten Grundschule und stellt die Geschichte des Bezirks Reinickendorf und seiner zehn Ortsteile umfassend dar.;Freier Eintritt ;freier Eintritt für alle Besucher*innen;https://www.museum-reinickendorf.de/;Alt-Hermsdorf 35;Berlin;13467;Reinickendorf;ja;Kultur;Erwachsene, Senioren, Familie;13,31864936;52,61543421;de;Museum Reinickendorf;Ja
Museum Reinickendorf;The Museum Reinickendorf (formerly the Local Museum Reinickendorf) is located in an old elementary school and comprehensively presents the history of the district of Reinickendorf and its ten neighborhoods.;Free admission;free admission for all visitors;https://www.museum-reinickendorf.de/;Alt-Hermsdorf 35;Berlin;13467;Reinickendorf;ja;Kultur;Erwachsene, Senioren, Familie;13,31864936;52,61543421;en;Museum Reinickendorf;Ja
Museum Treptow;Das Museum wurde 1989 im Rahmen eines „Deutsch-Deutschen Kulturprojekts“ mit dem Museum Neukölln gegründet. Vorläufer ist das „Heimatgeschichtliche Kabinett“ des ehemaligen DDR-Stadtbezirks Treptow.;Freier Eintritt ;freier Eintritt für alle Besucher*innen Di-Do 10-18 Uhr|Mi 10-16 Uhr|So 14-18 Uhr;https://www.berlin.de/museum-treptow-koepenick/;Sterndamm 102;Berlin;12487;Treptow-Köpenick;nein;Kultur;Erwachsene, Senioren, Familie;13,50230431;52,4434924;de;Museum Treptow;Ja
Museum Treptow;The museum was established in 1989 as part of a 'German-German cultural project' along with the Neukölln Museum. Its predecessor is the 'Local History Cabinet' of the former East German district of Treptow.;Free admission;free admission for all visitors Tue-Thu 10 AM-6 PM|Wed 10 AM-4 PM|Sun 2 PM-6 PM;https://www.berlin.de/museum-treptow-koepenick/;Sterndamm 102;Berlin;12487;Treptow-Köpenick;nein;Kultur;Erwachsene, Senioren, Familie;13,50230431;52,4434924;en;Museum Treptow;Ja
Museumsdorf Düppel;In der rekonstruierten Dorfanlage des Freilichtmuseums wird der mittelalterliche Alltag vor rund 800 Jahren lebendig.;Ermäßigter Eintritt;ermäßigter Eintritt Sa und So 10-18 Uhr, 5 Euro, erm. 3 Euro, bis 18 Jahre Eintritt frei für Kinder und Jugendliche. Preisänderungen vorbehalten.;http://www.stadtmuseum.de;Clauertstraße 11;Berlin;14163;Steglitz-Zehlendorf;nein;Kultur;Erwachsene, Senioren, Familie;13,23638965;52,42460727;de;Museumsdorf Düppel;Ja
Museumsdorf Düppel;In the reconstructed village of the open-air museum, the medieval everyday life from around 800 years ago comes alive.;Reduced admission;Reduced admission on Saturdays and Sundays from 10 AM to 6 PM, 5 euros, reduced price 3 euros, free admission for children and teenagers up to 18 years old. Prices subject to change.;http://www.stadtmuseum.de;Clauertstraße 11;Berlin;14163;Steglitz-Zehlendorf;nein;Kultur;Erwachsene, Senioren, Familie;13,23638965;52,42460727;en;Museumsdorf Düppel;Ja
Musikinstrumenten-Museum des Staatlichen Instituts für Musikforschung;Das Staatliche Institut für Musikforschung ist das größte außeruniversitäre Forschungszentrum für die Musikwissenschaft in Deutschland. Es widmet sich der historisch-theoretischen Reflexion über Musik und deren lebendiger Vermittlung. ;Ermäßigter Eintritt;ermäßigter Eintritt Di, Mi, Fr 9-17 Uhr| Do 9-20 Uhr, Sa, So 10-17 Uhr, 3 Euro | Kinder und Jugendliche bis 18 Jahre Eintritt frei;https://www.simpk.de;Ben-Gurion-Straße;Berlin;10785;Mitte;nein;Kultur;Erwachsene, Senioren, Familie;13,3710285;52,50984714;de;Musikinstrumenten-Museum des Staatlichen Instituts für Musikforschung;Ja
Musical Instruments Museum of the State Institute for Music Research;The State Institute for Music Research is the largest non-university research center for musicology in Germany. It is dedicated to the historical and theoretical reflection on music and its lively mediation.;Reduced admission;reduced admission Tue, Wed, Fri 9 AM - 5 PM | Thu 9 AM - 8 PM, Sat, Sun 10 AM - 5 PM, 3 Euros | Children and adolescents up to 18 years free admission;https://www.simpk.de;Ben-Gurion-Straße;Berlin;10785;Mitte;nein;Kultur;Erwachsene, Senioren, Familie;13,3710285;52,50984714;en;Musikinstrumenten-Museum des Staatlichen Instituts für Musikforschung;Ja
Musikschule Charlottenburg-Wilmersdorf;Zahlreiche Spielkreise, Ensembles, Chöre, Jazz-, Rock-, Orchester- und Tanzgruppen geben dem Schüler Gelegenheit, im Verbund mit anderen bei einem Projekt, einem Workshop, einer Veranstaltung oder einem Konzert mitzuwirken. ;Ermäßigte Kursgebühren;siehe Website, Ermäßigung nach sozialen Gesichtspunkten auf Antragstellung;https://www.ms-cw.de;Prinzregentenstraße 72;Berlin;10715;Charlottenburg-Wilmersdorf;nein;Kultur;Erwachsene, Senioren, Familie;13,33342055;52,48535353;de;Musikschule Charlottenburg-Wilmersdorf;Ja
Music School Charlottenburg-Wilmersdorf;Numerous playgroups, ensembles, choirs, jazz, rock, orchestra, and dance groups provide students with the opportunity to participate in a project, workshop, event, or concert alongside others.;Reduced course fees;see website, discounts based on social criteria upon application;https://www.ms-cw.de;Prinzregentenstraße 72;Berlin;10715;Charlottenburg-Wilmersdorf;nein;Kultur;Erwachsene, Senioren, Familie;13,33342055;52,48535353;en;Musikschule Charlottenburg-Wilmersdorf;Ja
